0 0 22.2534 0.0102905 3 0 12
0 1 24.76 0 4 0 1
1 0 22.2654 0.00384358 4 1.5 21
1 1 22.2938 0.0129582 5 1 20
0 70 22.1608 0.00440841 6 3.65 27
0 70 1.471 2 2 4 0
0 0 22.1327 0.0124862 4 2 9
0 1 22.1006 0.00364443 3 3.8 6
1 0 22.241 0.00368749 4 3.28571 12
1 1 22.2637 0.00963263 3 1.83333 19
0 71 22.1903 0.00495541 4 3.93548 33
0 71 1.322 2 2 4 0
0 0 22.1963 0.011212 4 3.16667 11
0 1 22.4123 0.00722719 4 2.75 9
1 0 22.3948 0.00517674 3 1.8 16
1 1 22.2764 0.00925059 4 2 24
0 72 22.2241 0.00423834 5 3.70833 31
0 72 1.370 2 2 4 0
0 0 22.4239 0.00603022 4 1.5 7
0 1 22.2311 0.00547951 4 1.5 7
1 0 22.2254 0.00640431 3 3.625 22
1 1 25.33 0 5 0 1
0 73 22.2688 0.00620227 6 0.428571 32
0 73 1.370 2 2 4 0
0 0 21.9565 0.00304963 4 3.8 6
0 1 22.2569 0.00752059 3 2.5 10
1 0 22.233 0.00447477 6 2.83333 13
1 1 22.2517 0.00540688 5 0.75 17
0 74 22.1911 0.0045301 6 0 39
0 74 1.243 2 2 4 0
0 0 22.3673 0.00666826 4 3.9 11
0 1 22.1957 0.00724294 4 0 8
1 0 22.2171 0.00819467 5 3.2 18
1 1 22.1621 0.00362973 5 1.5 14
0 75 22.3751 0.00923474 7 3.32 42
0 75 1.242 2 2 4 0
0 0 22.3573 0.00830815 4 3 12
0 1 22.3564 0.00991093 3 2.6 12
1 0 22.3455 0.00863664 5 2.625 19
1 1 22.2813 0.0102546 5 2.42857 18
0 76 22.2107 0.00497312 5 3.375 39
0 76 1.243 2 2 4 0
0 0 22.1842 0.0031922 4 2.75 9
0 1 22.1686 0.00300939 3 0 11
1 0 22.2427 0.00286463 5 3.75 15
1 1 22.2002 0.00852604 4 2.11111 26
0 77 22.2621 0.00637344 7 3.88889 30
0 77 1.227 2 2 4 0
0 0 22.0576 0.00602653 3 0.5 9
0 1 22.4144 0.00888734 3 2.6 12
1 0 22.1285 0.00563838 4 1.2 19
1 1 22.1536 0.00339048 6 0 16
0 78 22.2808 0.00617113 7 3.55263 55
0 78 1.116 2 2 4 0
0 0 22.2725 0.00398112 5 3.25 14
0 1 22.2978 0.00257637 4 2.71429 16
1 0 22.2099 0.0061187 5 3.22222 16
1 1 22.3923 0.00939882 7 1.85714 22
0 79 22.3337 0.00621525 5 3.21622 66
0 79 1.093 2 2 4 0
0 0 22.2901 0.00159815 3 3.125 15
0 1 22.3622 0.0097638 3 0.75 17
1 0 22.5239 0.00415565 4 2.57143 17
1 1 22.3301 0.00776683 4 1.85714 22
0 80 22.3335 0.00675328 3 3.34146 68
0 80 1.110 2 2 4 0
0 0 22.3875 0.00902795 3 3.36364 18
0 1 22.4066 0.00830645 3 2.88889 19
1 0 22.3482 0.00824717 4 2.22222 25
1 1 22.2617 0.00370134 4 0 16
0 81 22.2533 0.00345216 5 0.5 54
0 81 1.116 2 2 4 0
0 0 22.2918 0.0051968 3 2.5 20
0 1 22.4929 0.00478132 2 0 14
1 0 22.285 0.00967433 3 2 24
1 1 22.2759 0.0071935 3 2.66667 21
0 82 22.304 0.00392302 7 3.03448 57
0 82 0.996 2 2 4 0
0 0 22.4085 0.00729033 5 3.5 12
0 1 22.2656 0.0107863 4 0 25
1 0 22.3097 0.00625762 5 0 25
1 1 22.2538 0.00522574 4 2.25 22
0 83 22.2223 0.00423567 6 3.47368 58
0 83 0.992 2 2 4 0
0 0 22.5674 0.0105632 5 2.42857 18
0 1 22.2546 0.004537 6 3.72727 14
1 0 22.3687 0.009541 4 2.55556 22
1 1 22.2608 0.00499208 4 2.81818 24
0 84 22.2778 0.00377361 7 2.79167 53
0 84 0.997 2 2 4 0
0 0 22.4099 0.0118577 5 0 18
0 1 22.1945 0.00482789 5 2.375 21
1 0 22.2174 0.00477783 3 1.71429 23
1 1 22.2712 0.00672733 2 0 11
0 85 22.0383 0.00692913 7 3.66667 64
0 85 0.992 2 2 4 0
0 0 22.0981 0.00541265 3 2.75 18
0 1 22.2879 0.00563175 5 3.66667 12
1 0 22.0539 0.00414017 6 2.77778 20
1 1 21.9522 0.00159007 4 3.93333 16
0 86 22.5185 0.0050431 8 3.26923 90
0 86 0.749 3 3 9 0
0 0 22.5606 0.0049091 5 3.88889 10
0 1 22.465 0.00411724 5 3.25 14
0 2 22.4641 0.010498 6 3.16667 11
1 0 22.5109 0.0100905 7 2.85714 15
1 1 22.4312 0.00813161 7 0 25
1 2 22.3657 0.0103725 7 3.5 15
2 0 22.3175 0.00607237 5 2.5 10
2 1 22.263 0.00730337 5 3.46154 20
2 2 22.4083 0.00936506 6 2.57143 17
0 87 22.0463 0.00472813 10 0 80
0 87 0.811 3 3 9 0
0 0 22.5812 0.00441707 4 0 6
0 1 22.5744 0.00625078 5 1 16
0 2 22.4804 0.00208746 5 0 10
1 0 22.1056 0.00748819 6 3.625 11
1 1 22.0124 0.00223762 6 3.58333 17
1 2 22.4894 0.0065607 7 3.55556 13
